symbol,entry_time,exit_time,exit_time_15m,side,setup,matched_rule,r_multiple,r15m,hours_to_expiry,expiry_blocked,applied_risk_pct,pretp1,taken,pnl_krw
BTCUSDT,2025-09-24 04:00:00+00:00,2025-09-25 08:00:00+00:00,2025-09-25 11:45:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,0.5461348575087167,0.5461348575087167,52.0,False,4.315614007975119,False,True,32775653.0
BTCUSDT,2025-09-27 20:00:00+00:00,2025-09-29 12:00:00+00:00,2025-09-29 14:30:00+00:00,short,a_mss+a_room+a_volume,a_mss+a_room+a_volume||down||short,-1.0258122152025315,-1.0258122152025315,804.0,False,1.4024953958902748,True,True,-32007501.0
AVAXUSDT,2025-09-30 12:00:00+00:00,2025-09-30 16:00:00+00:00,2025-09-30 21:15:00+00:00,long,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||long,0.5836907022199774,2.1615017540630093,740.0,False,1.056555032293037,False,True,50076804.0
BTCUSDT,2025-10-01 20:00:00+00:00,2025-10-02 00:00:00+00:00,2025-10-02 00:00:00+00:00,short,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume,a_room+a_sweep+a_trend_counter+a_vol_expansion+a_volume||up||short,-1.167419318942733,-1.167419318942733,708.0,False,4.036791654039396,True,True,-47058387.0
DOGEUSDT,2025-10-02 04:00:00+00:00,2025-10-02 08:00:00+00:00,2025-10-02 08:00:00+00:00,short,a_fvg_absent+a_ob+a_room+a_trend_counter,a_fvg_absent+a_ob+a_room+a_trend_counter||up||short,-1.1077568170397984,-1.114378989873096,700.0,False,1.056555032293037,True,True,-25853024.0
DOGEUSDT,2025-10-03 04:00:00+00:00,2025-10-03 08:00:00+00:00,2025-10-03 13:00:00+00:00,long,a_fvg_absent+a_room+a_volume,a_fvg_absent+a_room+a_volume||up||long,0.0898805382977596,0.0690699270767353,676.0,False,1.6227227595325122,False,True,2432069.0
BTCUSDT,2025-10-07 04:00:00+00:00,2025-10-07 08:00:00+00:00,2025-10-07 08:15:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,0.3166711781793086,-1.3325038218206915,580.0,False,0.996462384418414,False,True,-26077716.0
LINKUSDT,2025-10-07 08:00:00+00:00,2025-10-09 08:00:00+00:00,2025-10-09 11:45:00+00:00,long,a_room+a_vol_expansion+a_volume,a_room+a_vol_expansion+a_volume||up||long,-0.8026413328617329,-0.8026413328617327,576.0,False,0.996462384418414,True,True,-17165897.0
DOGEUSDT,2025-10-07 16:00:00+00:00,2025-10-08 00:00:00+00:00,2025-10-08 03:15:00+00:00,long,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||up||long,-1.023443011033388,-1.0234430110333876,568.0,False,0.0,True,False,0.0
BTCUSDT,2025-10-10 20:00:00+00:00,2025-10-11 00:00:00+00:00,2025-10-11 00:15:00+00:00,long,a_fvg_absent+a_room+a_vol_expansion+a_volume,a_fvg_absent+a_room+a_vol_expansion+a_volume||down||long,-1.2485122181795096,0.4006627818204903,492.0,False,2.0591703994912867,False,True,10277233.0
BNBUSDT,2025-10-10 20:00:00+00:00,2025-10-11 04:00:00+00:00,2025-10-11 00:15:00+00:00,long,a_fvg_absent+a_room+a_vol_expansion+a_volume,a_fvg_absent+a_room+a_vol_expansion+a_volume||down||long,10.843046620233885,10.798786211308547,492.0,False,2.0591703994912867,False,True,473438791.0
DOGEUSDT,2025-10-10 20:00:00+00:00,2025-10-11 04:00:00+00:00,2025-10-11 00:15:00+00:00,long,a_fvg_absent+a_ob+a_room+a_score_ge13+a_vol_expansion,a_fvg_absent+a_ob+a_room+a_score_ge13+a_vol_expansion||down||long,7.615702978840735,7.792966632743971,492.0,False,5.601351969071898,False,True,912318852.0
SOLUSDT,2025-10-10 20:00:00+00:00,2025-10-11 20:00:00+00:00,2025-10-11 20:30:00+00:00,long,a_room+a_score_ge13+a_trend_counter,a_room+a_score_ge13+a_trend_counter||down||long,0.6170448790687764,0.6170448790687764,492.0,False,4.315614007975119,False,True,56696462.0
SOLUSDT,2025-10-14 12:00:00+00:00,2025-10-16 12:00:00+00:00,2025-10-16 12:00:00+00:00,short,a_room+a_score_ge13+a_vol_expansion+a_volume,a_room+a_score_ge13+a_vol_expansion+a_volume||range||short,0.234175589962331,0.234175589962331,404.0,False,0.0,False,False,0.0
XRPUSDT,2025-10-14 12:00:00+00:00,2025-10-16 12:00:00+00:00,2025-10-16 15:45:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,1.0912173408088677,1.0912173408088677,404.0,False,1.274894730091847,False,True,49830018.0
ADAUSDT,2025-10-14 12:00:00+00:00,2025-10-16 12:00:00+00:00,2025-10-16 15:45:00+00:00,short,a_room+a_score_ge13+a_volume,a_room+a_score_ge13+a_volume||range||short,0.7030803113239821,0.703080311323982,404.0,False,1.274894730091847,True,True,32105891.0
