symbol,side,entry_ms,exit_ms,entry,sl,K,conf,r_v3,exit_reason,hold_h,entry_time,exit_time
BNBUSDT,long,1689350400000,1689550200000,250.21,241.75817142857144,2.0,False,-1.0,SL,55.5,2023-07-14 16:00:00+00:00,2023-07-16 23:30:00+00:00
BNBUSDT,long,1691582400000,1691604000000,243.51,242.77947,2.0,False,-1.0,SL,6.0,2023-08-09 12:00:00+00:00,2023-08-09 18:00:00+00:00
BNBUSDT,short,1696248000000,1696262400000,219.24,219.89772,3.0,True,3.0,TP,4.0,2023-10-02 12:00:00+00:00,2023-10-02 16:00:00+00:00
BNBUSDT,long,1697544000000,1697564700000,211.79,211.15463,3.0,True,-1.0,SL,5.75,2023-10-17 12:00:00+00:00,2023-10-17 17:45:00+00:00
BNBUSDT,long,1698148800000,1698274800000,229.77,222.0388,2.0,False,-1.0,SL,35.0,2023-10-24 12:00:00+00:00,2023-10-25 23:00:00+00:00
BNBUSDT,long,1698926400000,1699389900000,230.78,222.1654857142857,3.0,True,2.1034267747456075,time_exit,128.75,2023-11-02 12:00:00+00:00,2023-11-07 20:45:00+00:00
BNBUSDT,long,1699545600000,1699560000000,240.35,239.25142857142856,3.0,True,3.0,TP,4.0,2023-11-09 16:00:00+00:00,2023-11-09 20:00:00+00:00
BNBUSDT,long,1699675200000,1699713900000,246.06,242.7850857142857,2.0,False,2.0,TP,10.75,2023-11-11 04:00:00+00:00,2023-11-11 14:45:00+00:00
BNBUSDT,short,1700438400000,1700500500000,247.33,251.4248,3.0,True,3.0,TP,17.25,2023-11-20 00:00:00+00:00,2023-11-20 17:15:00+00:00
BNBUSDT,long,1700568000000,1700582400000,256.22,254.49862857142855,3.0,True,3.0,TP,4.0,2023-11-21 12:00:00+00:00,2023-11-21 16:00:00+00:00
BNBUSDT,long,1701000000000,1701070200000,231.9,227.63942857142857,2.0,False,-1.0,SL,19.5,2023-11-26 12:00:00+00:00,2023-11-27 07:30:00+00:00
BNBUSDT,long,1701849600000,1702313100000,230.65,221.6602857142857,2.0,False,1.8087337909992305,time_exit,128.75,2023-12-06 08:00:00+00:00,2023-12-11 16:45:00+00:00
BNBUSDT,long,1702123200000,1702137600000,243.0,240.76577142857144,2.0,False,-1.0,SL,4.0,2023-12-09 12:00:00+00:00,2023-12-09 16:00:00+00:00
BNBUSDT,long,1703304000000,1703592000000,265.54,256.9297714285714,3.0,True,3.0,TP,80.0,2023-12-23 04:00:00+00:00,2023-12-26 12:00:00+00:00
BNBUSDT,long,1703822400000,1703836800000,314.92,312.2398214285714,2.0,False,-1.0,SL,4.0,2023-12-29 04:00:00+00:00,2023-12-29 08:00:00+00:00
BNBUSDT,short,1704916800000,1704977100000,310.0,316.8572571428571,2.0,False,-1.0,SL,16.75,2024-01-10 20:00:00+00:00,2024-01-11 12:45:00+00:00
BNBUSDT,short,1706428800000,1706444100000,308.9,310.68165714285715,2.0,False,2.0,TP,4.25,2024-01-28 08:00:00+00:00,2024-01-28 12:15:00+00:00
